timestamp,switch,eth_src,eth_dst,eth_type,src_ip,dst_ip,cookie,table_id,packet_count,byte_count,idle_timeout_s,hard_timeout_s,in_port,dur,dur_nsec,label
1695491865.99492,00:00:00:00:00:00:00:08,6c:23:c1:94:e3:3a,16:0d:a2:c9:0f:83,0x800,172.24.16.7,172.24.16.9,9007199338627072,N/A,5,490,5,0,1,5,276000000,0
1695491865.99492,00:00:00:00:00:00:00:08,72:ad:29:aa:19:e9,12:29:fb:48:15:e7,0x800,172.24.16.14,172.24.16.8,9007199321849856,N/A,5,490,5,0,3,5,220000000,0
1695491865.99492,00:00:00:00:00:00:00:08,e0:19:6b:4d:dd:29,6c:23:c1:94:e3:3a,0x800,172.24.16.2,172.24.16.7,9007199506399232,N/A,6,588,5,0,3,5,220000000,0
1695491865.99492,00:00:00:00:00:00:00:08,ce:94:05:58:97:d0,12:29:fb:48:15:e7,0x800,172.24.16.3,172.24.16.8,9007199539953664,N/A,6,588,5,0,3,5,220000000,0
1695491865.99492,00:00:00:00:00:00:00:08,12:29:fb:48:15:e7,ba:ac:3e:25:c0:d1,0x800,172.24.16.8,172.24.16.15,9007199472844800,N/A,5,490,5,0,2,5,220000000,0
1695491865.99492,00:00:00:00:00:00:00:08,12:29:fb:48:15:e7,72:ad:29:aa:19:e9,0x800,172.24.16.8,172.24.16.14,9007199808389120,N/A,5,490,5,0,2,5,175000000,0
1695491865.99492,00:00:00:00:00:00:00:08,16:0d:a2:c9:0f:83,6c:23:c1:94:e3:3a,0x800,172.24.16.9,172.24.16.7,9007199825166336,N/A,6,588,5,0,3,5,174000000,0
1695491865.99492,00:00:00:00:00:00:00:08,12:29:fb:48:15:e7,ce:94:05:58:97:d0,0x800,172.24.16.8,172.24.16.3,9007200127156224,N/A,5,490,5,0,2,5,144000000,0
1695491865.99492,00:00:00:00:00:00:00:08,6c:23:c1:94:e3:3a,e0:19:6b:4d:dd:29,0x800,172.24.16.7,172.24.16.2,9007200143933440,N/A,5,490,5,0,1,5,142000000,0
1695491865.99492,00:00:00:00:00:00:00:08,ba:ac:3e:25:c0:d1,12:29:fb:48:15:e7,0x800,172.24.16.15,172.24.16.8,9007200211042304,N/A,6,588,5,0,3,5,121000000,0
1695491865.99492,00:00:00:00:00:00:00:08,6c:23:c1:94:e3:3a,02:00:00:00:00:01,0x800,172.24.16.7,172.24.16.20,9007200563363840,N/A,0,0,5,0,1,5,59000000,0
1695491865.99492,00:00:00:00:00:00:00:08,12:29:fb:48:15:e7,02:00:00:00:00:01,0x800,172.24.16.8,172.24.16.20,9007200580141056,N/A,0,0,5,0,2,5,58000000,0
1695491865.99492,00:00:00:00:00:00:00:08,02:00:00:00:00:01,6c:23:c1:94:e3:3a,0x800,172.24.16.20,172.24.16.7,9007200815022080,N/A,1,74,5,0,3,4,986000000,0
1695491865.99492,00:00:00:00:00:00:00:08,02:00:00:00:00:01,12:29:fb:48:15:e7,0x800,172.24.16.20,172.24.16.8,9007200831799296,N/A,1,74,5,0,3,4,986000000,0
1695491865.99492,00:00:00:00:00:00:00:08,6c:23:c1:94:e3:3a,02:00:00:00:00:01,0x800,172.24.16.7,172.24.16.20,9007201402224640,N/A,14327,785324494,5,0,1,4,891000000,0
1695491865.99492,00:00:00:00:00:00:00:08,6c:23:c1:94:e3:3a,02:00:00:00:00:01,0x800,172.24.16.7,172.24.16.20,9007201419001856,N/A,5194,7854460,5,0,1,4,891000000,0
1695491865.99492,00:00:00:00:00:00:00:08,12:29:fb:48:15:e7,02:00:00:00:00:01,0x800,172.24.16.8,172.24.16.20,9007202073313280,N/A,9303,498789006,5,0,2,4,890000000,0
1695491865.99492,00:00:00:00:00:00:00:08,12:29:fb:48:15:e7,02:00:00:00:00:01,0x800,172.24.16.8,172.24.16.20,9007202090090496,N/A,2017,3047610,5,0,2,4,890000000,0
1695491865.99492,00:00:00:00:00:00:00:08,02:00:00:00:00:01,6c:23:c1:94:e3:3a,0x800,172.24.16.20,172.24.16.7,9007203247718400,N/A,1,94,5,0,3,4,708000000,0
1695491865.99492,00:00:00:00:00:00:00:08,02:00:00:00:00:01,6c:23:c1:94:e3:3a,0x800,172.24.16.20,172.24.16.7,9007206200508416,N/A,9068,679280,5,0,3,4,283000000,0
1695491865.99492,00:00:00:00:00:00:00:08,02:00:00:00:00:01,12:29:fb:48:15:e7,0x800,172.24.16.20,172.24.16.8,9007206301171712,N/A,1,94,5,0,3,4,276000000,0
1695491865.99492,00:00:00:00:00:00:00:08,02:00:00:00:00:01,12:29:fb:48:15:e7,0x800,172.24.16.20,172.24.16.8,9007207861452800,N/A,4496,360500,5,0,3,4,81000000,0
1695491865.99492,00:00:00:00:00:00:00:08,N/A,N/A,N/A,N/A,N/A,0,N/A,155,42897,0,0,N/A,20,582000000,0
1695491865.99492,00:00:00:00:00:00:00:09,16:0d:a2:c9:0f:83,6c:23:c1:94:e3:3a,0x806,N/A,N/A,9007199271518208,N/A,1,42,5,0,1,5,285000000,0
1695491865.99492,00:00:00:00:00:00:00:09,02:00:00:00:00:01,16:0d:a2:c9:0f:83,0x806,N/A,N/A,9007199875497984,N/A,1,42,5,0,3,5,174000000,0
1695491865.99492,00:00:00:00:00:00:00:09,02:00:00:00:00:01,24:d4:9b:33:b2:20,0x806,N/A,N/A,9007199892275200,N/A,1,42,5,0,3,5,174000000,0
1695491865.99492,00:00:00:00:00:00:00:09,6c:23:c1:94:e3:3a,16:0d:a2:c9:0f:83,0x806,N/A,N/A,9007209052635136,N/A,1,42,5,0,3,0,201000000,0
1695491865.99492,00:00:00:00:00:00:00:09,6c:23:c1:94:e3:3a,16:0d:a2:c9:0f:83,0x800,172.24.16.7,172.24.16.9,9007199338627072,N/A,5,490,5,0,3,5,255000000,0
1695491865.99492,00:00:00:00:00:00:00:09,16:0d:a2:c9:0f:83,9a:e2:59:1f:df:d6,0x800,172.24.16.9,172.24.16.4,9007199623839744,N/A,5,490,5,0,1,5,186000000,0
1695491865.99492,00:00:00:00:00:00:00:09,6a:b4:67:f6:d8:ab,16:0d:a2:c9:0f:83,0x800,172.24.16.16,172.24.16.9,9007199724503040,N/A,6,588,5,0,3,5,185000000,0
1695491865.99492,00:00:00:00:00:00:00:09,24:d4:9b:33:b2:20,e0:19:6b:4d:dd:29,0x800,172.24.16.10,172.24.16.2,9007199640616960,N/A,5,490,5,0,2,5,185000000,0
1695491865.99492,00:00:00:00:00:00:00:09,16:0d:a2:c9:0f:83,6c:23:c1:94:e3:3a,0x800,172.24.16.9,172.24.16.7,9007199825166336,N/A,5,490,5,0,1,5,174000000,0
1695491865.99492,00:00:00:00:00:00:00:09,e0:19:6b:4d:dd:29,24:d4:9b:33:b2:20,0x800,172.24.16.2,172.24.16.10,9007200093601792,N/A,6,588,5,0,3,5,140000000,0
1695491865.99492,00:00:00:00:00:00:00:09,9a:e2:59:1f:df:d6,16:0d:a2:c9:0f:83,0x800,172.24.16.4,172.24.16.9,9007200177487872,N/A,6,588,5,0,3,5,133000000,0
1695491865.99492,00:00:00:00:00:00:00:09,16:0d:a2:c9:0f:83,6a:b4:67:f6:d8:ab,0x800,172.24.16.9,172.24.16.16,9007200278151168,N/A,5,490,5,0,1,5,120000000,0
1695491865.99492,00:00:00:00:00:00:00:09,16:0d:a2:c9:0f:83,02:00:00:00:00:01,0x800,172.24.16.9,172.24.16.20,9007200462700544,N/A,0,0,5,0,1,5,68000000,0
