timestamp,datapath,rx-pkts,rx-bytes,rx-error,rx_dropped,tx-pkts,tx-bytes,tx-error,tx_dropped,duration_nsec,label
1694687853.363202,8,0,0,0,592,0,0,0,0,728,0
1694687853.367714,1,11958619,295440202325,0,0,7743035,520689509,0,0,728,0
1694687853.367714,1,10205112,246993966552,0,0,6620128,447240236,0,0,728,0
1694687853.367714,1,14358656,967507102,0,0,22159912,542433808449,0,0,728,0
1694687853.367714,1,31,3518,0,0,603,52959,0,0,728,0
1694687853.367714,1,0,0,0,591,0,0,0,0,728,0
1694687853.371167,3,6620128,447240236,0,0,10205113,246993968064,0,0,728,0
1694687853.371167,3,2952443,52135924108,0,0,2187055,147867733,0,0,728,0
1694687853.371167,3,4430677,150426680562,0,0,2296902,154967916,0,0,728,0
1694687853.371167,3,2824534,44431603102,0,0,2139982,144756403,0,0,728,0
1694687853.371167,3,0,0,0,588,0,0,0,0,728,0
1694687853.372755,14,603,52959,0,0,31,3518,0,0,728,0
1694687853.372755,14,0,0,0,594,0,0,0,0,728,0
1694687853.503148,7,1953357,32029503856,0,0,1475289,99022023,0,0,728,0
1694687853.503148,7,1196973,17398980668,0,0,915577,62080243,0,0,728,0
1694687853.503148,7,2390220,161044545,0,0,3150531,49428498866,0,0,728,0
1694687853.503148,7,0,0,0,594,0,0,0,0,728,0
1694687853.505551,13,1616375,27479252996,0,0,1201888,81174987,0,0,728,0
1694687853.505551,13,1207958,16952335748,0,0,938741,63639205,0,0,728,0
1694687853.505551,13,2139982,144756403,0,0,2824534,44431603102,0,0,728,0
1694687853.505551,13,0,0,0,590,0,0,0,0,728,0
1694687853.510578,4,22160002,542438923671,0,0,14358674,967508290,0,0,728,0
1694687853.510578,4,2886352,39370366056,0,0,2253410,151545871,0,0,728,0
1694687853.510578,4,3024464,37931731004,0,0,2366687,158882986,0,0,728,0
1694687853.510578,4,3700309,80928090730,0,0,2645641,177337354,0,0,728,0
1694687853.510578,4,21607160,1453656532,0,0,31755778,700667661293,0,0,728,0
1694687853.510578,4,0,0,0,590,0,0,0,0,728,0
1694687853.512804,5,2037640,32903266412,0,0,1539474,103400367,0,0,728,0
1694687853.512804,5,1485131,45157302336,0,0,920937,62330477,0,0,728,0
1694687853.512804,5,2459760,165672127,0,0,3522960,78060582318,0,0,728,0
1694687853.512804,5,0,0,0,596,0,0,0,0,728,0
1694687853.51505,10,2158275,57702252324,0,0,1467431,98234827,0,0,728,0
1694687853.51505,10,1541838,23225827190,0,0,1178856,79159965,0,0,728,0
1694687853.51505,10,2645641,177337354,0,0,3700311,80928093754,0,0,728,0
1694687853.51505,10,0,0,0,590,0,0,0,0,728,0
1694687853.518264,9,1512317,20100226384,0,0,1184403,79638791,0,0,728,0
1694687853.518264,9,1511943,17831490008,0,0,1182925,79301163,0,0,728,0
1694687853.518264,9,2366687,158882986,0,0,3024464,37931731004,0,0,728,0
1694687853.518264,9,0,0,0,588,0,0,0,0,728,0
1694687853.520331,6,3322784,137932339562,0,0,1392612,93033289,0,0,728,0
1694687853.520331,6,1963455,30023316690,0,0,1503621,101230403,0,0,728,0
1694687853.520331,6,2895582,194205161,0,0,5286446,167955671114,0,0,728,0
1694687853.520331,6,0,0,0,595,0,0,0,0,728,0
1694687853.521054,11,1300061,17448123852,0,0,1024187,69464489,0,0,728,0
1694687853.521054,11,1652190,34687786476,0,0,1163516,78461123,0,0,728,0
1694687853.521054,11,2187055,147867733,0,0,2952443,52135924108,0,0,728,0
1694687853.521054,11,0,0,0,591,0,0,0,0,728,0
1694687853.524423,2,7743035,520689509,0,0,11958620,295440203837,0,0,728,0
1694687853.524423,2,3522960,78060582318,0,0,2459760,165672127,0,0,728,0
1694687853.524423,2,5286370,167951241010,0,0,2895566,194204105,0,0,728,0
1694687853.524423,2,3150531,49428498866,0,0,2390220,161044545,0,0,728,0
1694687853.524423,2,0,0,0,594,0,0,0,0,728,0
1694687853.526511,12,3216472,133329833376,0,0,1351344,90482646,0,0,728,0
1694687853.526511,12,1214060,17099778048,0,0,946201,64541644,0,0,728,0
1694687853.526511,12,2296912,154968576,0,0,4430727,150429625494,0,0,728,0
1694687853.526511,12,0,0,0,579,0,0,0,0,728,0
1694687853.530454,15,31755688,700662546071,0,0,21607142,1453655344,0,0,728,0
1694687853.530454,15,5218555,353473834,0,0,7802443,175204278844,0,0,728,0
1694687853.530454,15,4912082,330768432,0,0,7445729,170636696408,0,0,728,0
1694687853.530454,15,6281970,420895768,0,0,8881550,181184769060,0,0,728,0
1694687853.530454,15,5194523,348515638,0,0,7627786,173636858822,0,0,728,0
1694687853.530454,15,0,0,0,590,0,0,0,0,728,0
1694687863.351515,14,603,52959,0,0,31,3518,0,0,738,0
1694687863.351515,14,0,0,0,594,0,0,0,0,738,0
1694687863.353979,15,32155384,718270419933,0,0,21783731,1465410022,0,0,738,0
1694687863.353979,15,5332862,361079068,0,0,7960843,180215432916,0,0,738,0
1694687863.353979,15,4912082,330768432,0,0,7445729,170636696408,0,0,738,0
1694687863.353979,15,6281972,420895852,0,0,8883115,181187132400,0,0,738,0
1694687863.353979,15,5256803,352664998,0,0,7867517,186231215272,0,0,738,0
1694687863.353979,15,0,0,0,590,0,0,0,0,738,0
1694687863.355495,3,6665944,450302744,0,0,10369427,255615405272,0,0,738,0
1694687863.355495,3,3021043,55650191302,0,0,2207994,149266563,0,0,738,0
1694687863.355495,3,4500914,154423994034,0,0,2312187,155977202,0,0,738,0
1694687863.355495,3,2850023,45541460820,0,0,2149586,145411971,0,0,738,0
1694687863.355495,3,0,0,0,588,0,0,0,0,738,0
1694687863.357522,1,12032078,299409987799,0,0,7759467,521774849,0,0,738,0
1694687863.357522,1,10369427,255615405272,0,0,6665944,450302744,0,0,738,0
1694687863.357522,1,14420904,971654950,0,0,22397686,555025032643,0,0,738,0
1694687863.357522,1,31,3518,0,0,603,52959,0,0,738,0
1694687863.357522,1,0,0,0,591,0,0,0,0,738,0
1694687863.387573,11,1300810,17449256340,0,0,1024187,69464489,0,0,738,0
1694687863.387573,11,1720067,38201007314,0,0,1184481,79861669,0,0,738,0
1694687863.387573,11,2208020,149268279,0,0,3021073,55650277698,0,0,738,0
1694687863.387573,11,0,0,0,591,0,0,0,0,738,0
1694687863.389146,6,3390507,141834778640,0,0,1407402,94009813,0,0,738,0
1694687863.389146,6,1964000,30024140730,0,0,1503621,101230403,0,0,738,0
1694687863.389146,6,2910372,195181685,0,0,5354714,171858934232,0,0,738,0
1694687863.389146,6,0,0,0,595,0,0,0,0,738,0
1694687863.390998,2,7759495,521776697,0,0,12032107,299410074753,0,0,738,0
1694687863.390998,2,3526858,78120873330,0,0,2461417,165782029,0,0,738,0
1694687863.390998,2,5354714,171858934232,0,0,2910372,195181685,0,0,738,0
1694687863.390998,2,3151798,49430387592,0,0,2390239,161046295,0,0,738,0
1694687863.390998,2,0,0,0,594,0,0,0,0,738,0
1694687863.392406,9,1515612,20127376246,0,0,1186461,79775615,0,0,738,0
1694687863.392406,9,1530738,18272294036,0,0,1196674,80210257,0,0,738,0
1694687863.392406,9,2382494,159928904,0,0,3046562,38399685422,0,0,738,0
1694687863.392406,9,0,0,0,588,0,0,0,0,738,0
1694687863.393772,13,1641092,28588215052,0,0,1211492,81830555,0,0,738,0
1694687863.393772,13,1208732,16953506036,0,0,938741,63639205,0,0,738,0
1694687863.393772,13,2149586,145411971,0,0,2850025,45541518870,0,0,738,0
1694687863.393772,13,0,0,0,590,0,0,0,0,738,0
1694687863.397725,4,22397747,555025264043,0,0,14420960,971658646,0,0,738,0
1694687863.397725,4,2899590,39610058528,0,0,2261490,152094063,0,0,738,0
1694687863.397725,4,3046562,38399685422,0,0,2382494,159928904,0,0,738,0
1694687863.397725,4,3826886,85236866980,0,0,2736091,183351250,0,0,738,0
1694687863.397725,4,21783731,1465410022,0,0,32155384,718270419933,0,0,738,0
1694687863.397725,4,0,0,0,590,0,0,0,0,738,0
